date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:21	56554/56554	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:23%20GMT	http://twitter.github.com/bootstrap/components.html	twitter.github.com/bootstrap/components.html	(from )
16:17:22	71828/71828	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/javascript.html	twitter.github.com/bootstrap/javascript.html	(from )
16:17:22	17172/17172	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:23%20GMT	http://twitter.github.com/bootstrap/download.html	twitter.github.com/bootstrap/download.html	(from )
16:17:22	6530/6530	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:23%20GMT	http://twitter.github.com/bootstrap/examples.html	twitter.github.com/bootstrap/examples.html	(from )
16:17:23	14095/14095	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/upgrading.html	twitter.github.com/bootstrap/upgrading.html	(from )
16:17:23	305/305	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_042_group.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_042_group.png	(from )
16:17:23	213/213	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_079_podium.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_079_podium.png	(from )
16:17:23	172/172	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_163_iphone.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_163_iphone.png	(from )
16:17:23	117/117	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_155_show_thumbnails.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_155_show_thumbnails.png	(from )
16:17:23	301/301	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_214_resize_small.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_214_resize_small.png	(from )
